branch_name,scope,tip_sha,last_commit_date,worktree_attached,merged_into_main,unique_commit_count,unique_commit_list,tree_diff_summary,tip_tree_diff_summary,contained_by_tags,contains_paper_provenance_commit,contains_unique_evidence,unpreserved_tip_path_count,active_or_historical,recommended_action,reason,raw_prefix
release/public-release-report-v1,local,49c692c16bb646a819a7002456fbc18085e171bd,2026-08-27T13:51:17+08:00,,True,0,,,"271 files changed, 40591 deletions(-)",jcp-submission-v1,cf76ffe;39343bc;c868127;0428a1f,False,0,historical,DELETE_AFTER_VERIFY,Tip and every ancestor reachable from retained main; historic tree remains retrievable even where current tip differs.,10
origin/codex/public-jcp-release,origin,0b610fb1f8a898d2954099eff2345de1095c9e37,2026-08-26T08:19:35Z,,False,6,"0b610fb1f8a898d2954099eff2345de1095c9e37 Restore manifested artifact bytes in CI audit
b0886f6ed96e32359237b704bc2dc5566b5ca870 Restore historical byte representation in CI audit
b28c187b51de741fd98d4b0edfe2c19019f33310 Install pinned Python with uv in publication CI
da028fae046b231572fe24939d371878303ebf19 Pin publication CI to supported Windows runner
e2cebbeaad0c7f852efa4eef4d5a51de71ccec25 Record SAEPS public release audit
df617419d5aa0a36a5cf6ef676dc4881f137cd66 Prepare SAEPS repository for public JCP release","20 files changed, 329 insertions(+), 73 deletions(-)","403 files changed, 242 insertions(+), 440592 deletions(-)",,cf76ffe,True,27,historical,ARCHIVE_TAG_THEN_DELETE,Unmerged unique DAG and tip content; preserve exact tip with a NEW annotated archive tag before any deletion.,12
origin/codex/saeps-so-week1,origin,0b400e318267504ebae6dc9467652ad8645f0059,2026-09-09T16:02:50+08:00,C:/Users/RZF/Desktop/博士课题资料/SAEPS-so-week1,True,0,,,,,cf76ffe;39343bc;c868127;0428a1f;d5a231d857e4,False,0,active,KEEP,Protected stable main / active SO worktree; no rename or rewrite.,13
origin/codex/v6-phase15-protocol,origin,71b84e3ca28b00bac5a0d9924213415ad66954cd,2026-09-07T13:20:52+08:00,,False,8,"71b84e3ca28b00bac5a0d9924213415ad66954cd Record remote synchronization of phase 1.5 branch and main
c742d25d4d682a2fc1c7f18917f68910bd79620a Document concurrent branch-ref loss and reflog recovery (I-V6-004)
8ced9560f4b5450283027b41653a92ddbeee4b81 Record phase 1.5 closure and stale validator lifecycle issue
38ada9ea5faf13eedf04b874dafccc88e0279c7c Complete phase 1.5 candidate gates and retain negative development outcome
2eb344741e16c0db2aa7768ccc0bb0d7fff7013f Accept phase 1.5B paired-start and preconditioner trajectories
0bfdde7f6ce701223279d9f66eb15c8f64df38be Accept phase 1.5A spectral and cancellation audit
38c188add0981c9c0699ca36463146494da3fffb Implement and test phase 1.5 numerical development pipeline
6fea4bd3bcb766ac00fa4fb7a6f6d71228558596 Specify phase 1.5 historical method-development protocol","6014 files changed, 197723 insertions(+), 1 deletion(-)","6266 files changed, 197722 insertions(+), 27565 deletions(-)",,cf76ffe;39343bc;c868127;0428a1f;d5a231d857e4,True,6014,historical,ARCHIVE_TAG_THEN_DELETE,Unmerged unique DAG and tip content; preserve exact tip with a NEW annotated archive tag before any deletion.,14
origin/main,origin,0b400e318267504ebae6dc9467652ad8645f0059,2026-09-09T16:02:50+08:00,C:/Users/RZF/Desktop/博士课题资料/SAEPS,True,0,,,,,cf76ffe;39343bc;c868127;0428a1f;d5a231d857e4,False,0,active,KEEP,Protected stable main / active SO worktree; no rename or rewrite.,15
origin/posthoc/exact-fixed-state-decomposition-v1,origin,56c3f8745a5adee9b4a420791b8c85b5bb50c360,2026-08-26T17:26:34+08:00,,True,0,,,"379 files changed, 67 insertions(+), 409526 deletions(-)",jcp-submission-v1,cf76ffe,False,9,historical,DELETE_AFTER_VERIFY,Tip and every ancestor reachable from retained main; historic tree remains retrievable even where current tip differs.,16
origin/posthoc/exact-fixed-state-decomposition-v2,origin,ead14d9bc09f927029a8f31fd4c095634d855de0,2026-08-26T17:34:29+08:00,,True,0,,,"371 files changed, 67 insertions(+), 406902 deletions(-)",jcp-submission-v1,cf76ffe,False,9,historical,DELETE_AFTER_VERIFY,Tip and every ancestor reachable from retained main; historic tree remains retrievable even where current tip differs.,17
origin/posthoc/exact-fixed-state-decomposition-v3,origin,39343bc32ae38ea2ad118011105cf4cb2c2f3241,2026-08-26T21:21:45+08:00,,True,0,,,"332 files changed, 67 insertions(+), 45563 deletions(-)",jcp-submission-v1,cf76ffe;39343bc,False,9,historical,DELETE_AFTER_VERIFY,Tip and every ancestor reachable from retained main; historic tree remains retrievable even where current tip differs.,18
origin/posthoc/variable-projection-baseline-v1,origin,c868127b1bcc52598dcf41a8822a7d58fed38635,2026-08-27T10:00:25+08:00,,True,0,,,"302 files changed, 67 insertions(+), 42822 deletions(-)",jcp-submission-v1,cf76ffe;39343bc;c868127,False,9,historical,DELETE_AFTER_VERIFY,Tip and every ancestor reachable from retained main; historic tree remains retrievable even where current tip differs.,19
origin/posthoc/whitening-sensitivity-v1,origin,0428a1f8891fd478fb53c18508aff3c0506fd57b,2026-08-27T11:59:21+08:00,,True,0,,,"374 files changed, 67 insertions(+), 438886 deletions(-)",jcp-submission-v1,cf76ffe;0428a1f,False,9,historical,DELETE_AFTER_VERIFY,Tip and every ancestor reachable from retained main; historic tree remains retrievable even where current tip differs.,20
origin/release/jcp-submission-v1,origin,deedbbefe80ee63940046b10ce4b6e0ed8df1448,2026-08-27T13:46:08+08:00,,True,0,,,"272 files changed, 40723 deletions(-)",jcp-submission-v1,cf76ffe;39343bc;c868127;0428a1f,False,0,historical,DELETE_AFTER_VERIFY,Tip and every ancestor reachable from retained main; historic tree remains retrievable even where current tip differs.,21
origin/release/public-release-report-v1,origin,49c692c16bb646a819a7002456fbc18085e171bd,2026-08-27T13:51:17+08:00,,True,0,,,"271 files changed, 40591 deletions(-)",jcp-submission-v1,cf76ffe;39343bc;c868127;0428a1f,False,0,historical,DELETE_AFTER_VERIFY,Tip and every ancestor reachable from retained main; historic tree remains retrievable even where current tip differs.,22
